files,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,numsamples,dimensionality,is_uniform,SVM,NN,ExTR,GBR
DTLZ1_10_100_normal.csv,0.830310879546176,488.874567949162,2.1973078315566,611.468682604985,278.280846144263,1.24044826172206,0.833559641820297,44.6839941958019,1,0.010000000000218,100,10,0,0,0,0.825524858877322,0.846851401002315
DTLZ1_10_100_uniform.csv,0.85322306800803,494.625846223144,1.96552156707419,506.012163564534,257.444218390219,1.21070233792959,0.852655801203915,7.24893146908555,1,0.007999999999811,100,10,1,0,0,0.892434820722333,0.862292872439561
DTLZ1_10_1000_normal.csv,0.814414730807699,488.960747747281,0.074941179064863,588.606190097402,7854.24245311052,0.81386050709092,0.819027430130092,75.6273302010762,0.815954371286906,0.052999999999884,1000,10,0,0.057058233476975,0,0.832495396485697,0.831799429833052
DTLZ1_10_1000_uniform.csv,0.833981922891006,489.053416705661,1.3747850636928,487.567970689504,354.650325760633,0.834244247894987,0.83380220860899,43.7358142902433,0.820057130942587,0.052000000000589,1000,10,1,0.057295123736695,0,0.851348765495919,0.864334371119496
DTLZ1_10_1200_normal.csv,0.821183160854012,491.545516786894,1.01596578465591,602.258258493141,592.793839703092,0.822411085177956,0.82910267253869,33.2913790648116,0.836396703034757,0.061999999999898,1200,10,0,0.060886404518264,0,0.829703961444676,0.866209301215333
DTLZ1_10_1200_uniform.csv,0.840157497048995,494.336380531856,0.395228345502799,498.693899543537,1261.78677520994,0.841833137376772,0.841293302285754,548.744121586601,0.83617132915379,0.062999999999192,1200,10,1,0.081085288451044,0,0.830930957088384,0.850071015569335
DTLZ1_10_150_normal.csv,0.835058526036252,535.741728769908,1.39147699478937,592.074762668835,425.500935255101,0.722180596408335,0.848573003093197,52.3535333230044,1,0.011999999999716,150,10,0,0,0,0.821939468634012,0.652534194554249
DTLZ1_10_150_uniform.csv,0.85293619900758,506.405812764076,0.049585101407437,487.233472782588,9826.20704511676,0.756400044985654,0.857181081254873,10.8602760376413,1,0.010999999999513,150,10,1,0,0,0.893455584961424,0.876536734906521
DTLZ1_10_1500_normal.csv,0.81595845815444,494.829867662454,1.05247599710649,589.317724023579,559.934597695104,0.815334306432937,0.820673415152004,30.1980865234336,0.834964327560985,0.077000000000226,1500,10,0,0.091584275374333,0.02677789579869,0.836322451708481,0.856650365135711
DTLZ1_10_1500_uniform.csv,0.835219827650882,493.674889949387,0.297568810352495,487.749994072546,1639.11665841176,0.834946636164908,0.835686461939477,48.8628363523023,0.837570356633492,0.078000000000429,1500,10,1,0.145552590384322,0.026368406026179,0.803323895510396,0.837598263021888
